DATE,cons,yd
1/1/59,1956.716,2224.816667
1/1/60,2010.4055,2282.908333
1/1/61,2051.6395,2363.141667
1/1/62,2153.07825,2478.116667
1/1/63,2241.9255,2571.633333
1/1/64,2375.3495,2754.175
1/1/65,2526.033,2925.291667
1/1/66,2669.261,3080.983333
1/1/67,2749.05825,3216.091667
1/1/68,2907.46825,3362.308333
1/1/69,3015.90825,3476.116667
1/1/70,3086.87625,3636.75
1/1/71,3204.761,3805.233333
1/1/72,3401.0465,3988.258333
1/1/73,3569.35775,4235.75
1/1/74,3539.458,4188.883333
1/1/75,3619.71325,4291.875
1/1/76,3821.45475,4428.841667
1/1/77,3982.96575,4568.416667
1/1/78,4157.278,4776.741667
1/1/79,4256.09625,4869.875
1/1/80,4242.8085,4904.883333
1/1/81,4301.6395,5024.441667
1/1/82,4364.60725,5135.391667
1/1/83,4611.69125,5312.441667
1/1/84,4854.30125,5676.991667
1/1/85,5105.63275,5847.858333
1/1/86,5316.4,6069.991667
1/1/87,5496.928,6204.1
1/1/88,5726.52775,6495.941667
1/1/89,5893.49075,6686.35
1/1/90,6012.1905,6817.491667
1/1/91,6023.04375,6866.858333
1/1/92,6244.6965,7153.125
1/1/93,6462.2445,7271.366667
1/1/94,6712.6165,7470.5
1/1/95,6910.67325,7718.975
1/1/96,7150.46975,7964.2
1/1/97,7419.72175,8255.758333
1/1/98,7813.7895,8740.55
1/1/99,8225.3695,9025.916667
1/1/00,8643.35175,9479.508333
1/1/01,8861.06725,9740.15
1/1/02,9088.6885,10034.69167
1/1/03,9377.496,10301.475
1/1/04,9729.33075,10645.85
1/1/05,10075.88375,10811.65
1/1/06,10384.54675,11242.06667
1/1/07,10615.34425,11500.48333
1/1/08,10592.8375,11610.83333
1/1/09,10459.96975,11591.975
1/1/10,10642.98025,11822.05
1/1/11,10843.831,12099.89167
1/1/12,11006.81425,12500.83333
1/1/13,11166.86025,12339.125
1/1/14,11497.415,12844.21667
1/1/15,11921.22775,13372.76667
1/1/16,12247.4685,13608.71667
1/1/17,12566.94775,14002.84167
1/1/18,12944.5495,14556.16667
