food_exp,income
115.22,369
135.98,439
119.34,475
114.96,603
187.05,1247
243.92,1298
267.43,1420
238.71,1476
295.94,1532
317.78,1639
216,1735
240.35,1777
386.57,1793
261.53,1843
249.34,1855
309.87,1880
345.89,1881
165.54,1904
196.98,1922
395.26,1993
406.34,2013
171.92,2033
303.23,2037
377.04,2043
194.35,2145
213.48,2252
293.87,2255
259.61,2286
323.71,2420
275.02,2439
109.71,2442
359.19,2520
201.51,2550
460.36,2661
447.76,2670
482.55,2714
438.29,2716
587.66,2862
257.95,2940
375.73,3340
