statename,statefips
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alabama,1
Alaska,2
Alaska,2
Alaska,2
Alaska,2
Alaska,2
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arizona,4
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
Arkansas,5
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
California,6
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Colorado,8
Connecticut,9
Connecticut,9
Connecticut,9
Connecticut,9
Connecticut,9
Connecticut,9
Connecticut,9
Connecticut,9
Delaware,10
Delaware,10
Delaware,10
District Of Columbia,11
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Florida,12
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Georgia,13
Hawaii,15
Hawaii,15
Hawaii,15
Hawaii,15
Idaho,16
Idaho,16
Idaho,16
Idaho,16
Idaho,16
Idaho,16
Idaho,16
Idaho,16
Idaho,16
Idaho,16
Idaho,16
Idaho,16
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Illinois,17
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Indiana,18
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Iowa,19
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kansas,20
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Kentucky,21
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Louisiana,22
Maine,23
Maine,23
Maine,23
Maine,23
Maine,23
Maine,23
Maine,23
Maine,23
Maine,23
Maine,23
Maine,23
Maine,23
Maine,23
Maine,23
Maine,23
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Maryland,24
Massachusetts,25
Massachusetts,25
Massachusetts,25
Massachusetts,25
Massachusetts,25
Massachusetts,25
Massachusetts,25
Massachusetts,25
Massachusetts,25
Massachusetts,25
Massachusetts,25
Massachusetts,25
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Michigan,26
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Minnesota,27
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Mississippi,28
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Missouri,29
Montana,30
Montana,30
Montana,30
Montana,30
Montana,30
Montana,30
Montana,30
Montana,30
Montana,30
Nebraska,31
Nebraska,31
Nebraska,31
Nebraska,31
Nebraska,31
Nebraska,31
Nebraska,31
Nebraska,31
Nebraska,31
Nebraska,31
Nebraska,31
Nevada,32
Nevada,32
Nevada,32
Nevada,32
Nevada,32
Nevada,32
Nevada,32
New Hampshire,33
New Hampshire,33
New Hampshire,33
New Hampshire,33
New Hampshire,33
New Hampshire,33
New Hampshire,33
New Hampshire,33
New Hampshire,33
New Hampshire,33
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Jersey,34
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New Mexico,35
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
New York,36
North Carolina,37
North Carolina,37
North Carolina,37
North Carolina,37
North Carolina,37
North Carolina,37
