wage,wagek,ethnicity,educ,mother_education,father_education,walk,exercise,smokenow,tense,angry,age,gender
50000,50,White,16,16,16,3,3,2,0,0,45,Male
60000,60,White,16,16,16,6,5,1,0,0,58,Female
30000,30,White,16,16,16,8,1,2,1,1,29,Female
25000,25,White,17,17,NA,8,1,2,0,0,57,Female
50000,50,Other,16,16,16,5,6,2,0,0,91,Female
62000,62,Black,18,18,18,1,1,2,2,2,54,Female
51000,51,White,17,17,17,3,1,2,4,4,39,Female
9000,9,White,15,15,15,7,4,1,4,4,26,Female
29000,29,White,12,12,12,2,2,2,0,0,49,Female
32000,32,White,17,17,17,7,1,1,0,0,46,Male
2000,2,Hispanic,15,15,15,8,1,2,0,0,21,Male
35000,35,White,NA,99,99,1,1,2,0,0,53,Male
27000,27,White,12,12,12,1,2,2,1,1,26,Male
6530,6.53,White,16,16,NA,4,1,2,0,0,65,Male
0,0,White,14,14,14,7,4,2,2,2,50,Female
30000,30,White,11,NA,NA,7,4,2,0,0,34,Male
12000,12,White,12,12,12,6,5,2,2,2,27,Male
15000,15,White,18,18,18,4,6,2,0,0,51,Male
12000,12,White,12,12,12,5,1,2,1,1,51,Female
20000,20,White,11,11,11,8,1,1,0,0,45,Female
0,0,White,12,12,12,4,2,1,7,7,27,Female
25000,25,White,12,12,12,1,4,1,0,0,41,Female
22000,22,White,16,16,16,5,1,2,1,1,35,Female
25000,25,White,16,16,16,5,4,2,1,1,29,Female
20000,20,White,14,14,14,7,4,2,0,0,22,Male
17000,17,White,12,12,12,8,1,2,0,0,58,Male
40000,40,White,14,14,14,8,7,2,1,1,29,Female
44000,44,White,13,13,13,8,2,2,4,4,44,Male
0,0,White,9,9,9,1,1,1,0,0,21,Female
7000,7,Black,12,12,12,8,1,2,4,4,55,Female
53000,53,Black,13,13,13,6,7,2,2,2,35,Male
5000,5,Black,12,NA,NA,3,1,1,7,7,23,Female
5000,5,White,13,13,13,2,1,1,0,0,51,Female
14000,14,White,14,14,14,5,3,2,0,0,21,Female
45000,45,White,14,14,14,8,7,2,1,1,36,Male
5500,5.5,White,14,14,14,6,7,2,0,0,22,Male
40000,40,White,12,12,12,4,4,2,0,0,41,Female
34000,34,White,12,12,NA,2,1,2,0,0,45,Male
5000,5,Black,12,12,12,4,1,1,7,7,23,Female
10000,10,Black,12,12,12,8,3,2,3,3,35,Female
0,0,White,11,11,NA,2,7,1,1,1,21,Male
27000,27,White,16,16,16,2,1,1,0,0,60,Female
62000,62,White,14,14,NA,8,1,2,2,2,44,Male
15000,15,White,12,12,12,1,1,2,0,0,69,Female
0,0,White,12,12,12,8,1,2,0,0,44,Female
50000,50,White,16,16,16,5,6,2,1,1,38,Male
0,0,White,12,NA,NA,3,1,2,0,0,55,Female
41000,41,White,16,16,16,7,7,2,0,0,33,Male
0,0,White,10,10,10,8,1,2,0,0,19,Female
15000,15,White,14,14,14,4,1,2,3,3,25,Female
25000,25,White,12,12,12,1,5,2,7,7,33,Female
25000,25,White,16,16,16,5,1,2,1,1,72,Female
75000,75,White,17,17,17,8,5,2,4,4,39,Male
27000,27,White,17,17,17,5,2,2,0,0,31,Male
12000,12,White,12,12,12,8,1,2,7,7,26,Female
40000,40,White,12,12,12,7,3,2,0,0,51,Male
7500,7.5,White,14,14,14,8,1,1,0,0,78,Female
25000,25,White,12,12,12,7,2,1,0,0,46,Female
30000,30,Black,14,14,14,8,6,2,7,7,31,Female
21000,21,White,12,12,12,8,1,1,0,0,57,Female
27000,27,White,14,14,14,5,1,2,0,0,26,Female
45000,45,White,16,16,16,7,2,1,0,0,44,Male
3000,3,White,15,15,15,1,1,2,1,1,65,Female
25000,25,White,12,12,12,8,7,2,2,2,30,Female
24000,24,White,12,12,12,1,7,2,1,1,41,Female
32000,32,White,18,18,18,4,5,1,1,1,29,Female
10000,10,White,17,17,17,7,2,2,1,1,30,Female
0,0,White,12,12,12,5,1,2,0,0,57,Female
11000,11,Hispanic,12,12,12,2,1,2,0,0,21,Female
